id;name;year;rank
275375;Reluctant Prophet (1995);1995;10.0
107321;Fado majeur et mineur (1995);1995;10.0
288249;Sargam (1995);1995;9.9
212488;Mi Puerto Rico (1995);1995;9.7
192854;Lizzie Borden Hash & Rehash (1995);1995;9.7
24153;August Roads (1995);1995;9.7
81509;Decak iz Junkovca (1995);1995;9.6
230239;Neurosia - 50 Jahre pervers (1995);1995;9.5
43107;Boldog lovak (1995);1995;9.5
58892;Champions of the World (1995);1995;9.5
287062;Sana maulit muli (1995);1995;9.4
180610;Koza (1995);1995;9.4
200981;Mail Bonding (1995);1995;9.4
213036;Middle of the Moment (1995);1995;9.3
370856;Year of My Japanese Cousin, The (1995);1995;9.3
37331;Big Sister, The (1995);1995;9.3
67910;Come the Dawn (1995);1995;9.2
18947;Apocalipsa dupa Cioran (1995);1995;9.2
47831;Brooms (1995);1995;9.1
101234;Enfants du soleil, Les (1995);1995;9.1
64546;Circus Lives (1996);1996;10.0
153301;Huttyn (1996);1996;9.9
121552;Full Moon Rising (1996);1996;9.8
101687;Enter Achilles (1996);1996;9.7
104484;Eu Adam (1996);1996;9.7
329880;Then There Were None (1996);1996;9.6
297032;Shaheed-E-Mohabbat (1996);1996;9.6
18;$40,000 (1996);1996;9.6
170598;Junction (1996);1996;9.6
190677;Like a Lady (1996);1996;9.5
237030;NY, the Lost Civilization (1996);1996;9.5
378373;ltima llamada, La (1996/I);1996;9.5
28085;Bakit may kahapon pa? (1996);1996;9.5
343738;Tneis da Realidade, Os (1996);1996;9.5
78877;Dark Mist, The (1996);1996;9.4
323509;Taken for a Ride (1996);1996;9.4
378025;tre avec (1996);1996;9.4
46531;"Breathing Lessons: The Life and Work of Mark O""Brien (1996)";1996;9.4
198835;Macabre Pair of Shorts (1996);1996;9.4
312678;Staccato Purr of the Exhaust (1996);1996;9.3
63870;Cielo della luna, Il (1997);1997;10.0
238162;October Three (1997);1997;10.0
217802;Mond im Skorpion (1997);1997;10.0
289646;Scarmour (1997);1997;9.9
289842;Schalkse ruiters (1997);1997;9.9
16730;Angel on My Shoulder (1997);1997;9.8
335592;Too Good to Be True (1997/I);1997;9.7
359333;War Symphonies - Sjostakovitsj (1997);1997;9.6
361986;Wette, Die (1997);1997;9.6
197030;Lucky Three an Elliott Smith Portrait (1997);1997;9.6
251690;Pederastia 96 (1997);1997;9.6
173215;Kan Zeh Lo Sham (1997);1997;9.6
319710;Superstition (1997);1997;9.5
51413;"C""est le vent (1997)";1997;9.5
45377;Boy (1997);1997;9.5
241311;One Dog Day (1997);1997;9.4
270134;R.I.P., Rest in Pieces (1997);1997;9.4
267066;Pulso, O (1997);1997;9.4
100241;En attendant la cigogne (1997);1997;9.3
332760;Tiger (1997/II);1997;9.3
16987;Angles of the Dumps (1998);1998;10.0
219942;Mother Ignacia - Ang uliran (1998);1998;10.0
302203;Simple Game of Cutthroats, A (1998);1998;10.0
328573;Terror of Prehistoric Bloody Monster From Space (1998);1998;10.0
230568;New Clear Farm (1998);1998;9.9
334747;Together & Alone (1998);1998;9.9
242702;Operation (1998);1998;9.8
92323;Dozen Kliks, A (1998);1998;9.7
34306;Berlin Berlin (1998);1998;9.7
271199;Rain, Drizzle, and Fog (1998);1998;9.7
146758;Hit the Highway, Honey (1998);1998;9.5
290924;Scomparsa (1998);1998;9.4
227377;Nandi (1998);1998;9.4
155201;Icarus Descending (1998);1998;9.3
301059;Sieg, Der (1998);1998;9.3
78702;Dari Jemapoh ke Manchestee (1998);1998;9.3
372252;You Saw Me Up There (1998);1998;9.3
222896;Murs du silence, Les (1998);1998;9.2
183335;Ladendiebstahl (1998);1998;9.2
105977;Experiment, Das (1998);1998;9.2
289656;"Scars Don""t Sweat (1999)";1999;10.0
300096;Show Me Your Tattoo (1999);1999;9.8
345483;Un soir de pluie (1999);1999;9.8
247301;Pamplemousse (1999);1999;9.8
65602;Click Three Times (1999);1999;9.8
119344;Freaks Uncensored! (1999);1999;9.8
366967;Without You (1999/I);1999;9.8
243587;Original Schtick (1999);1999;9.7
299533;Shoe Store, The (1999);1999;9.7
261504;Postal Branco, O (1999);1999;9.6
89823;Domaine, Le (1999);1999;9.6
138142;Hand of Fate (1999);1999;9.6
242530;Open Season (1999);1999;9.6
264363;Pripyat (1999);1999;9.6
325286;Tasty (1999);1999;9.5
211757;Message From Moonbase Alpha (1999);1999;9.5
11147;All American Hero (1999);1999;9.4
319404;Super Jesus (1999);1999;9.4
61812;Children of the Struggle (1999);1999;9.3
186732;Learning to Swim (1999);1999;9.3
120592;From Swastika to Jim Crow (2000);2000;10.0
368865;Wrestling with Shadows (2000);2000;9.9
374567;Zero (2000);2000;9.8
247849;Pantalones (2000);2000;9.7
79593;David Nelson Live (2000);2000;9.7
92406;Dr. Babasaheb Ambedkar (2000);2000;9.6
102311;Era outra vez (2000);2000;9.6
279594;Robbers (2000);2000;9.6
319027;Sunday Morning (2000);2000;9.6
2352;36K (2000);2000;9.5
277448;Rhapsody in Blue (2000);2000;9.5
359507;Warpath (2000);2000;9.5
220641;Moving Illustrations of Machines (2000);2000;9.5
244851;Our House: A Very Real Documentary About Kids of Gay & Lesbian Parents (2000);2000;9.5
63125;Christmas Tree and a Wedding, A (2000);2000;9.4
17812;Anno Domini (2000);2000;9.4
147936;Holocaust szemei, A (2000);2000;9.4
225735;Mnchen - Geheimnisse einer Stadt (2000);2000;9.4
104266;Etat (2000);2000;9.3
21454;As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty (2000);2000;9.3
346246;Undercover X (2001);2001;10.0
308557;Song for Honest Abe, A (2001);2001;10.0
65522;Clearing, The (2001);2001;9.9
374517;Zenith (2001);2001;9.9
213772;Milagro of Boyle Heights, The (2001);2001;9.8
277703;Richard Roe (2001);2001;9.7
137709;Halo (2001);2001;9.7
58084;Cerebrium (2001);2001;9.7
302296;Simulacra (2001);2001;9.7
54879;Card Sharks (2001/II);2001;9.6
20713;Arregui, la noticia del da (2001);2001;9.5
232019;Night of a Thousand Screams (2001);2001;9.5
19433;"Aquarium, L"" (2001)";2001;9.5
277945;Rider Pride (2001);2001;9.5
212104;Metropolitan (2001);2001;9.4
64230;Cinquantenaire du deuxime sexe, 1949-1999 (2001);2001;9.4
335266;Tomer Ve-Hasrutim (2001);2001;9.4
105587;Examen (2001);2001;9.4
82868;Denk ich an Deutschland - Wir haben vergessen zurckzukehren (2001);2001;9.4
375288;Ziti hui mie (2001);2001;9.4
263696;Prikovannyj (2002);2002;10.0
41537;Blow Job (2002);2002;9.9
320303;Suspension of Disbelief (2002);2002;9.8
205782;Marienthal: State of Emergency (2002);2002;9.8
24259;Aura (2002);2002;9.8
70507;"Copi, je t""aime (2002)";2002;9.8
338478;Travail (2002);2002;9.8
160250;Inseguito (2002);2002;9.8
170875;Junk Drawer (2002);2002;9.8
347834;Unterwegs in die nchste Dimension (2002);2002;9.8
113547;Fine Line Between Cute and Creepy, The (2002);2002;9.7
360667;Wedding Advice: Speak Now or Forever Hold Your Peace (2002);2002;9.7
183837;Lady Warriors (2002);2002;9.6
168725;Johnny Ostrich and His American Songbag (2002);2002;9.6
93829;Driving Fish (2002);2002;9.6
361580;Wesland (2002);2002;9.6
199529;Made Incorrect (2002);2002;9.6
223499;Mutual Admiration Society (2002);2002;9.6
226964;Naked Laura (2002);2002;9.6
99875;Emigranti (2002/I);2002;9.5
152590;Human Wreckage (2003);2003;10.0
9911;Alarium (2003);2003;10.0
107783;Fall of a Saga (2003);2003;10.0
331467;Three Long Years (2003);2003;10.0
264084;Prince Solitaire (2003);2003;9.9
363633;Whirlpool, The (2003);2003;9.9
89441;Doki-Doki (2003);2003;9.8
326384;Tea with Tiffany (2003);2003;9.8
75646;Custodial Code, The (2003);2003;9.8
218776;Moonlight by the Sea (2003);2003;9.8
324576;TankUp.US (2003);2003;9.8
966;12 (2003/II);2003;9.8
301924;Silver Bells (2003);2003;9.7
215708;Missed Call (2003);2003;9.7
163571;"It""s Just Coffee (2003)";2003;9.7
353792;Vidrar vel til loftrsa (2003);2003;9.7
300762;"Si"" Laraby (2003)";2003;9.7
292434;Secret Journal of Benny Travis, The (2003);2003;9.7
14157;American Reunion, An (2003);2003;9.7
110509;Feel Neil (2003);2003;9.7
148194;Home (2004/II);2004;10.0
160079;Innuendo (2004);2004;10.0
86430;Dieu Saturne, Le (2004);2004;10.0
124699;Gay by Dawn (2004);2004;10.0
23554;Attic Man (2004);2004;10.0
159429;Inexplicable (2004);2004;10.0
201545;Making Changes (2004);2004;10.0
269692;Question to Asclepios, A (2004);2004;10.0
79678;Dawn of the Friend (2004);2004;9.9
200340;Magical Time Traveling Thugtastic Jug, The (2004);2004;9.8
86807;Dimensia Minds Trilogy: The Reds (2004);2004;9.8
5496;Accordon (2004);2004;9.7
335353;"Tomorrow""s Memoir (2004)";2004;9.7
56282;Cashback (2004);2004;9.7
214259;Milton Is a Shitbag (2004);2004;9.7
287501;Sanhedrin (2004);2004;9.7
85117;Devils Are Dreaming (2004);2004;9.7
291436;Screw (2004);2004;9.6
342797;Two Days with Juliet (2004);2004;9.6
126144;"Gerald L""Ecuyer: A Filmmaker""s Journey (2004)";2004;9.6
