,72608,72619,72712,74392,72606,72713,KMLT0,72607,KAUG0
1889,,,,,,,,,
1890,,,,,,,,,
1891,,,,,,,,,
1892,,,,,,,,,
1893,,,,,,,,,
1894,8776.0,,,,,,,,
1895,8544.0,,,,,,,,
1896,9104.0,,,,,,,,
1897,,,,,,,,,
1898,8664.0,,,,,,,,
1899,8616.0,,,,,,,,
1900,,,,,,,,,
1901,8960.0,,,,,,,,
1902,8384.0,,,,,,,,
1903,8776.0,,,,,,,,
1904,9696.0,,,,,,,,
1905,9288.0,,,,,,,,
1906,8960.0,,,,,,,,
1907,9256.0,,,,,,,,
1908,8824.0,,,,,,,,
1909,8720.0,,,,,,,,
1910,8424.0,,,,,,,,
1911,9080.0,,,,,,,,
1912,8968.0,,,,,,,,
1913,8280.0,,,,,,,,
1914,9496.0,,,,,,,,
1915,8328.0,,,,,,,,
1916,9080.0,,,,,,,,
1917,9544.0,,,,,,,,
1918,9128.0,,,,,,,,
1919,8696.0,,,,,,,,
1920,9008.0,10728.0,,,,,,,
1921,8232.0,10192.0,,,,,,,
1922,8816.0,10400.0,,,,,,,
1923,,10176.0,,,,,,,
1924,9048.0,10584.0,,,,,,,
1925,8848.0,10672.0,,,,,,,
1926,9160.0,10872.0,,,,,,,
1927,,,,,,,,,
1928,8552.0,10680.0,,,,,,,
1929,,10536.0,,,,,,,
1930,,10304.0,,,,,,,
1931,8376.0,9768.0,,,,,,,
1932,8240.0,10136.0,,,,,,,
1933,8664.0,10288.0,,,,,,,
1934,8896.0,10552.0,,,,,,,
1935,9216.0,10840.0,,,,,,,
1936,,10408.0,,,,,,,
1937,8456.0,10360.0,,,,,,,
1938,,10448.0,,,,,,,
1939,,11432.0,,,,,,,
1940,9072.0,11080.0,,,,,,,
1941,8624.0,10504.0,,,9160.0,,,,
1942,8672.0,10632.0,10848.0,,9144.0,,,,
1943,,10824.0,11416.0,,9584.0,,,,
1944,8880.0,10912.0,,,9832.0,10584.0,6912.0,,
1945,8576.0,10776.0,11008.0,8052.0,9656.0,10640.0,,,
1946,,10264.0,10800.0,,8864.0,10480.0,,,
1947,,11184.0,,,9688.0,10504.0,,,
1948,9104.0,10864.0,11224.0,,9568.0,,,,
1949,8232.0,10200.0,10624.0,,8776.0,,,,
1950,,,10344.0,,9248.0,,,,
1951,8032.0,10224.0,10528.0,,9112.0,,,,
1952,8440.0,10400.0,10928.0,,9240.0,10544.0,,,
1953,,9784.0,10120.0,8240.0,8640.0,9768.0,,8640.0,
1954,,9872.0,10312.0,8752.0,8832.0,9952.0,,8968.0,
1955,,10848.0,11048.0,9232.0,9464.0,10640.0,,,
1956,8616.0,,10728.0,9392.0,9488.0,,,9824.0,
1957,8092.0,10040.0,10320.0,9000.0,8920.0,9976.0,,,
1958,,,10440.0,9280.0,9432.0,10288.0,,9712.0,
1959,8712.0,11120.0,11096.0,9728.0,9736.0,,,,
1960,8416.0,10384.0,10472.0,9424.0,9320.0,,,9808.0,
1961,8792.0,10840.0,11024.0,9272.0,9488.0,,,9968.0,
1962,,,10744.0,9352.0,9448.0,,,9608.0,
1963,,10896.0,11120.0,9072.0,9240.0,,,9896.0,
1964,8488.0,10400.0,10704.0,9088.0,9168.0,,,,
1965,8872.0,10936.0,11136.0,9648.0,9520.0,,,10480.0,
1966,8180.0,10176.0,10032.0,9624.0,9432.0,,,9864.0,
1967,8768.0,11192.0,11688.0,9864.0,9552.0,,,10392.0,
1968,8736.0,,10576.0,9280.0,9312.0,,,9688.0,
1969,8304.0,,10240.0,9048.0,8656.0,,,9672.0,
1970,8952.0,,10992.0,9368.0,9336.0,,,10216.0,
1971,8896.0,10920.0,10936.0,10008.0,9704.0,,,10296.0,
1972,8904.0,11104.0,11664.0,9688.0,9552.0,,,,
1973,8376.0,10632.0,10808.0,9192.0,8936.0,,,9704.0,
1974,8760.0,10584.0,11144.0,9416.0,8968.0,,,9912.0,
1975,8672.0,,11240.0,9408.0,8808.0,,,9488.0,8928.0
1976,8880.0,,11672.0,9920.0,9736.0,,,9888.0,9784.0
1977,8672.0,,10624.0,9352.0,9416.0,,,9144.0,8920.0
1978,9040.0,,11416.0,9672.0,9496.0,,,10168.0,9584.0
1979,8424.0,,10392.0,8656.0,8640.0,,,8720.0,
1980,,,11168.0,9608.0,9552.0,,,9960.0,9000.0
1981,,,10304.0,9160.0,8904.0,,,9400.0,9120.0
1982,8792.0,,10552.0,9072.0,8856.0,,,9792.0,9040.0
1983,,,10576.0,9360.0,9320.0,,,9592.0,
1984,8728.0,,10952.0,8880.0,9080.0,,,9584.0,
1985,8960.0,,10944.0,9152.0,9200.0,,,9648.0,
1986,8656.0,,10672.0,8992.0,8880.0,,,9360.0,
1987,8816.0,,10160.0,9104.0,9056.0,,,9272.0,
1988,8816.0,,10904.0,8984.0,8960.0,,,9624.0,
1989,,,11336.0,9672.0,9616.0,,,9952.0,
1990,,,10592.0,8528.0,8584.0,,,9192.0,
1991,,,10776.0,8952.0,8856.0,,,9376.0,
1992,8720.0,,10768.0,9368.0,9408.0,,,9992.0,
1993,,,11080.0,9472.0,9504.0,,,10336.0,
1994,,,11024.0,8880.0,9328.0,,,9832.0,
1995,,,11168.0,9024.0,9248.0,,,,
1996,,,10416.0,9592.0,9272.0,,,9896.0,
1997,,,11104.0,9616.0,9312.0,,,9936.0,
1998,,,9928.0,8480.0,8264.0,,,8960.0,
1999,8440.0,,10320.0,,8600.0,,,9152.0,
2000,,,10368.0,,9360.0,,,9584.0,
2001,,,10312.0,9128.0,8720.0,,,9736.0,
2002,,,10664.0,8832.0,8864.0,,,9792.0,
2003,,,11160.0,,9272.0,,,10048.0,
2004,,,10864.0,,8936.0,,,9656.0,9416.0
2005,,,10624.0,,9352.0,,10208.0,10016.0,9816.0
2006,,,9744.0,,8464.0,,,9120.0,8832.0
2007,,10400.0,10832.0,9496.0,9112.0,,,9992.0,9376.0
2008,,9976.0,10824.0,9304.0,9200.0,,,9872.0,9568.0
2009,,10288.0,10712.0,8584.0,8728.0,,,9728.0,
2010,,9344.0,9296.0,,8336.0,,,8720.0,8312.0
2011,,9904.0,10392.0,,9096.0,,,9456.0,9360.0
2012,,10064.0,10264.0,,8536.0,,,9280.0,
2013,,,10264.0,,8776.0,,9544.0,9752.0,9144.0
2014,,10480.0,11048.0,,9280.0,,,9984.0,9672.0
2015,,10496.0,10776.0,,9376.0,,,10344.0,9856.0
2016,,10336.0,10424.0,,8888.0,,,9552.0,9184.0
2017,,,10376.0,,9216.0,,,9640.0,9480.0
2018,,,10856.0,,8920.0,,10200.0,9632.0,9464.0
2019,,10368.0,10752.0,,8976.0,,,9832.0,
2020,,,10432.0,,8148.0,,,9456.0,8872.0
2021,,9304.0,9712.0,,8344.0,9704.0,9032.0,8512.0,8360.0
2022,,9952.0,10240.0,,8808.0,10152.0,9656.0,9264.0,8960.0
2023,,9240.0,9848.0,,8232.0,9744.0,9424.0,8904.0,8544.0
